         19x16                    (19x16.dat)                                                                                                                                       
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0948      0.0443       0.009       0.557       0.394       6.585       0.063       1.751      27.115        0.08      29696.    0.5254  
        0.64      0.0354      0.0735      0.0945      0.0455       0.009       0.571       0.392       6.756       0.065       1.745      26.342        0.08      29721.    0.5096  
        1.27      0.0707      0.1425      0.0941      0.0467       0.009       0.587       0.391       6.940       0.066       1.739      25.545        0.08      29750.    0.4932  
        1.91      0.1061      0.2070      0.0937      0.0480       0.010       0.603       0.389       7.136       0.068       1.731      24.730        0.08      29783.    0.4764  
        2.55      0.1415      0.2668      0.0932      0.0494       0.010       0.620       0.387       7.341       0.070       1.721      23.905        0.08      29820.    0.4592  
        3.18      0.1769      0.3219      0.0925      0.0508       0.010       0.638       0.384       7.553       0.072       1.709      23.076        0.08      29862.    0.4418  
        3.82      0.2122      0.3725      0.0917      0.0523       0.010       0.656       0.381       7.767       0.074       1.695      22.250        0.08      29909.    0.4241  
        4.45      0.2476      0.4186      0.0908      0.0537       0.011       0.674       0.377       7.978       0.076       1.677      21.434        0.08      29961.    0.4064  
        5.09      0.2830      0.4605      0.0896      0.0550       0.011       0.691       0.372       8.178       0.078       1.655      20.633        0.08      30018.    0.3887  
